
AMDuProfPcm Report

Processor Name:,AMD Ryzen 9 7950X 16-Core Processor            
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.8.0-60-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,2
Number of Cores :,8
Number of Threads :,16
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7
0,1, 8 9 10 11 12 13 14 15

Socket-UMC Topology:
Socket, UMC(s)
0,0 1 

Core P0 state frequency (MHz):,4501.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Multiplex interval for umc (ms):,1
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,1
Version:,5.2.606.0 (PUBLIC)

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -a -A system -C -o /home/mdo/MDOLab_3_v2/adflow- 2.12.2 dev 128/Run/results_bs_sweep/bs_4/results_smt_off_pure_mpi/np_8_omp_1/mem_np8_omp1.csv -- mpirun --bind-to core --report-bindings -np 8 /home/mdo/packages_v2/mach/bin/python /home/mdo/MDOLab_3_v2/adflow- 2.12.2 dev 128/Run/analysis.py"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
pto    : Per Thousand Operations
Topdown metrics are reported in "% slots"

Warnings:
L1 cache misses does not count the misses for which cache lines have already been requested due to an earlier miss.

Profile Time: 2026/03/21 18:46:18:357
CORE METRICS
Metric,System (Aggregated)
Utilization (%),51.75
System time (%),3.13
User time (%),96.05
System instructions (%),1.30
User instructions (%),98.70
Eff Freq (MHz),5356.53
IPC (Sys + User),1.12
IPC (Sys),0.46
IPC (User),1.14
CPI (Sys + User),0.90
CPI (Sys),2.18
CPI (User),0.88
Giga Instructions Per Sec,49.11
Locked Instructions (pti),0.00
Retired Branches (pti),79.92
Retired Branches Mispredicted (pti),0.42
Retired SSE/AVX Flops(GFLOPs),20.05
FP Dispatch Faults (pti),0.00
Retired Ops (pti),1023.84
SSE/AVX Instructions Retired (pti),518.92
MMX Instructions Retired (pti),0.00
x87 Instructions Retired (pti),0.03
Packed 512-bit FP Ops Retired (pto),5.60
Packed 256-bit FP Ops Retired (pto),43.89
Packed 128-bit FP Ops Retired (pto),240.58
Scalar FP Ops Retired (pto),232.27
MMX FP Ops Retired (pto),0.27
x87 FP Ops Retired (pto),0.11
Packed 512-bit FP Ops Retired (%),1.07
Packed 256-bit FP Ops Retired (%),8.39
Packed 128-bit FP Ops Retired (%),46.00
MMX/x87 FP Ops Retired (%),44.53
All DC Fills (pti),32.99
DC Fills From Same CCX (pti),31.38
DC Fills From different CCX in same node (pti),0.00
DC Fills From Local Memory (pti),1.59
DC Fills From Remote CCX Cache (pti),0.00
DC Fills From Remote Memory (pti),0.00
Remote DRAM Reads %,0.00
L1 DC Miss (pti),33.16
L2 Data Read Miss (pti),10.52
L1 IC Miss (pti),3.06
L2 Code Read Miss (pti),0.15
Total_Dispatch_Slots,398126027785536.00
SMT_Disp_contention,0.00
Frontend_Bound,5.55
Bad_Speculation,0.30
Backend_Bound,75.02
Retiring,19.08
Frontend_Bound.Latency,3.66
Frontend_Bound.BW,1.89
Bad_Speculation.Mispredicts,0.27
Bad_Speculation.Pipeline_Restarts,0.03
Backend_Bound.Memory,63.48
Backend_Bound.CPU,11.54
Retiring.Fastpath,18.59
Retiring.Microcode,0.49

L3 METRICS
Metric,System (Aggregated)
L3 Access,216414459796.00
L3 Miss,180248474326.00
L3 Access (pti),11.70
L3 Miss (pti),9.75
L3 Miss %,83.29
L3 Hit %,16.71
Ave L3 Miss Latency (ns),209.42
L3 Miss Latency From Local Memory or I/O (%),100.24
L3 Miss Latency From Remote Memory or I/O (%),0.00
L3 Miss Latency From another CCX in same node (%),0.03
L3 Miss Latency From another CCX in remote node (%),0.00
L3 Miss Latency From Local Extension Memory (CXL) (%),0.00
L3 Miss Latency From Remote Extension Memory (CXL) (%),0.00


