
AMDuProfPcm Report

Processor Name:,AMD Ryzen 9 7950X 16-Core Processor            
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.8.0-60-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,2
Number of Cores :,8
Number of Threads :,16
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7
0,1, 8 9 10 11 12 13 14 15

Socket-UMC Topology:
Socket, UMC(s)
0,0 1 

Core P0 state frequency (MHz):,4501.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Multiplex interval for umc (ms):,1
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,1
Version:,5.2.606.0 (PUBLIC)

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -a -A system -C -o /home/mdo/MDOLab_3_v2/adflow- 2.12.2 dev 128/Run/results_bs_sweep/bs_16/results_smt_off_pure_mpi/np_10_omp_1/mem_np10_omp1.csv -- mpirun --bind-to core --report-bindings -np 10 /home/mdo/packages_v2/mach/bin/python /home/mdo/MDOLab_3_v2/adflow- 2.12.2 dev 128/Run/analysis.py"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
pto    : Per Thousand Operations
Topdown metrics are reported in "% slots"

Warnings:
L1 cache misses does not count the misses for which cache lines have already been requested due to an earlier miss.

Profile Time: 2026/03/22 00:08:12:776
CORE METRICS
Metric,System (Aggregated)
Utilization (%),64.41
System time (%),2.86
User time (%),96.40
System instructions (%),0.92
User instructions (%),99.08
Eff Freq (MHz),5335.92
IPC (Sys + User),1.25
IPC (Sys),0.40
IPC (User),1.28
CPI (Sys + User),0.80
CPI (Sys),2.49
CPI (User),0.78
Giga Instructions Per Sec,68.47
Locked Instructions (pti),0.00
Retired Branches (pti),115.09
Retired Branches Mispredicted (pti),0.32
Retired SSE/AVX Flops(GFLOPs),18.95
FP Dispatch Faults (pti),0.00
Retired Ops (pti),1007.49
SSE/AVX Instructions Retired (pti),339.82
MMX Instructions Retired (pti),0.00
x87 Instructions Retired (pti),0.04
Packed 512-bit FP Ops Retired (pto),11.83
Packed 256-bit FP Ops Retired (pto),11.80
Packed 128-bit FP Ops Retired (pto),156.54
Scalar FP Ops Retired (pto),165.68
MMX FP Ops Retired (pto),0.32
x87 FP Ops Retired (pto),0.12
Packed 512-bit FP Ops Retired (%),3.42
Packed 256-bit FP Ops Retired (%),3.41
Packed 128-bit FP Ops Retired (%),45.20
MMX/x87 FP Ops Retired (%),47.98
All DC Fills (pti),20.34
DC Fills From Same CCX (pti),18.24
DC Fills From different CCX in same node (pti),0.01
DC Fills From Local Memory (pti),2.10
DC Fills From Remote CCX Cache (pti),0.00
DC Fills From Remote Memory (pti),0.00
Remote DRAM Reads %,0.00
L1 DC Miss (pti),20.46
L2 Data Read Miss (pti),12.11
L1 IC Miss (pti),0.60
L2 Code Read Miss (pti),0.16
Total_Dispatch_Slots,414334652533560.00
SMT_Disp_contention,0.00
Frontend_Bound,5.64
Bad_Speculation,0.27
Backend_Bound,73.09
Retiring,21.01
Frontend_Bound.Latency,3.26
Frontend_Bound.BW,2.38
Bad_Speculation.Mispredicts,0.25
Bad_Speculation.Pipeline_Restarts,0.02
Backend_Bound.Memory,63.72
Backend_Bound.CPU,9.37
Retiring.Fastpath,20.53
Retiring.Microcode,0.48

L3 METRICS
Metric,System (Aggregated)
L3 Access,294920369227.00
L3 Miss,173122797661.00
L3 Access (pti),13.62
L3 Miss (pti),8.00
L3 Miss %,58.70
L3 Hit %,41.30
Ave L3 Miss Latency (ns),229.79
L3 Miss Latency From Local Memory or I/O (%),100.13
L3 Miss Latency From Remote Memory or I/O (%),0.00
L3 Miss Latency From another CCX in same node (%),0.08
L3 Miss Latency From another CCX in remote node (%),0.00
L3 Miss Latency From Local Extension Memory (CXL) (%),0.00
L3 Miss Latency From Remote Extension Memory (CXL) (%),0.00


